"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)",actions:omni_landing_page_view," (USD)"
2022-09-05,2025-10-05,,0,"Multiple attribution settings",,,419519,5.349515,,0,0,23843.75,,-,-,-,2244223,10.624501,,,,,35631,1.587676,0.669186,,
2022-09-05,2025-10-05,"Post: ""What if the Ted Lasso cast went to Vegas? We tell...""",archived,"7-day click or 1-day view",18,actions:link_click,431,1.081207,0.22166667,"Using campaign budget",0,3.99,2023-04-19,-,-,-,466,8.562232,18,,0.221667,3.862661,26,5.579399,0.153462,,
2022-09-05,2025-10-05,Absinthe,archived,"7-day click or 1-day view",2,actions:link_click,135,1.096296,0.845,5,Daily,1.69,Ongoing,-,-,-,148,11.418919,2,,0.845,1.351351,7,4.72973,0.241429,,
2022-09-05,2025-10-05,"[09/09/2023] Promoting RE/Luxe Med Spa",archived,"7-day click or 1-day view",1,actions:like,39,1,0.64,"Using campaign budget",0,0.64,2023-09-14,-,-,-,39,16.410256,,,,,2,5.128205,0.32,,
2022-09-05,2025-10-05,"[09/09/2023] Promoting RE/Luxe Med Spa",archived,"7-day click or 1-day view",,,28,1.107143,,"Using campaign budget",0,0.46,2023-09-14,-,-,-,31,14.83871,,,,,0,0,0,,
2022-09-05,2025-10-05,"[09/09/2023] Promoting RE/Luxe Med Spa",archived,"7-day click or 1-day view",,,57,1.017544,,"Using campaign budget",0,0.78,2023-09-14,-,-,-,58,13.448276,,,,,0,0,0,,
2022-09-05,2025-10-05,"New Traffic Ad with recommended settings",not_delivering,"7-day click or 1-day view",13,actions:link_click,535,1.188785,0.58076923,5,Daily,7.55,2023-11-18,-,-,-,636,11.871069,13,,0.580769,2.044025,31,4.874214,0.243548,,
2022-09-05,2025-10-05,"Event: RELUXE Med Spa Grand Opening",not_delivering,"7-day click or 1-day view",5,actions:rsvp,352,1.389205,2,"Using campaign budget",0,10,2023-12-03,-,-,-,489,20.449898,12,,0.833333,2.453988,25,5.112474,0.4,,
2022-09-05,2025-10-05,"Promoting website: https://facebook.com/reluxemedspa",archived,"7-day click or 1-day view",,,168,1.142857,,"Using campaign budget",0,3.76,2023-12-18,-,-,-,192,19.583333,,,,,2,1.041667,1.88,,
2022-09-05,2025-10-05,"Post: ""Want to pamper yourself or someone you love in...""",not_delivering,"7-day click or 1-day view",,,256,1.648438,,"Using campaign budget",0,12,2023-12-24,-,-,-,422,28.436019,3,,4,0.7109,32,7.582938,0.375,,
